Image ID,ratio,species,uuid,longitude,latitude,date
052037b2-cffc-4d7b-9b69-af05bac336a5,3.092220094,Heteronympha merope,052037b2-cffc-4d7b-9b69-af05bac336a5,145.160652,-37.82648,14/01/2019
05329f45-5fb5-40aa-aa47-46fb49bfd4f9,2.333333333,Heteronympha merope,05329f45-5fb5-40aa-aa47-46fb49bfd4f9,142.24063,-37.389742,15/12/2021
05410e21-38fa-4007-a393-c2084cd93e44,3.580373636,Heteronympha merope,05410e21-38fa-4007-a393-c2084cd93e44,140.156461,-37.506945,12/12/2018
0547368d-1c86-4228-8f74-391f9c997d84,2.189390217,Pieris rapae,0547368d-1c86-4228-8f74-391f9c997d84,144.379042,-38.150097,19/04/2020
05696c36-8ad9-4f40-a63a-1d9b35eca454,3.45433771,Heteronympha merope,05696c36-8ad9-4f40-a63a-1d9b35eca454,153.112613,-28.225545,18/11/2022
058593e0-45a7-4a85-936a-43f8bf9f94c1,2.725392409,Heteronympha merope,058593e0-45a7-4a85-936a-43f8bf9f94c1,147.708518,-42.97148,13/04/2022
059a17ce-4318-4168-9ca5-2d6f4d3526e8,2.531479781,Heteronympha merope,059a17ce-4318-4168-9ca5-2d6f4d3526e8,149.028025,-33.344627,25/12/2018
059c65a4-2f30-4595-a0a0-ce63b1f1cda5,2.450605357,Pieris rapae,059c65a4-2f30-4595-a0a0-ce63b1f1cda5,145.282736,-37.793353,05/02/2022
05c27c2b-59c6-499c-a550-3e6e1a024fc7,2.166961711,Heteronympha merope,05c27c2b-59c6-499c-a550-3e6e1a024fc7,144.761336,-37.687083,12/04/2023
060827ff-e7f9-4661-b397-198b442837b3,3.705129959,Heteronympha merope,060827ff-e7f9-4661-b397-198b442837b3,144.433133,-37.956366,16/12/2019
060827ff-e7f9-4661-b397-198b442837b3,3.705129959,Heteronympha merope,060827ff-e7f9-4661-b397-198b442837b3,144.433133,-37.956366,16/12/2019
061a128d-c2ca-47e9-9864-d71a75ecccde,4.005545934,Pieris rapae,061a128d-c2ca-47e9-9864-d71a75ecccde,147.697022,-42.955742,19/02/2023
06200bea-e5dc-4e58-b305-e60df3629d0d,3.510825041,Pieris rapae,06200bea-e5dc-4e58-b305-e60df3629d0d,145.489167,-38.078597,26/03/2023
066275e2-613d-4e01-928c-e2c991952d11,2.394662124,Pieris rapae,066275e2-613d-4e01-928c-e2c991952d11,141.886661,-34.155173,10/04/2023
06e01608-23bd-45e9-8fc7-148a56aa831f,2.184639461,Heteronympha merope,06e01608-23bd-45e9-8fc7-148a56aa831f,140.83995,-37.349238,27/12/2022
070bbc01-cb45-4293-a40e-ab367280afb9,2.442928984,Pieris rapae,070bbc01-cb45-4293-a40e-ab367280afb9,150.556503,-33.712617,07/12/2021
071209b1-cc1b-48cc-a6c3-1afdfb81d6e7,3.097982071,Pieris rapae,071209b1-cc1b-48cc-a6c3-1afdfb81d6e7,117.871195,-34.674657,19/10/2017
073fb992-580f-4e29-bb7b-4496159962f0,2.019561522,Heteronympha merope,073fb992-580f-4e29-bb7b-4496159962f0,149.155955,-35.314637,23/03/2020
075183d6-d1af-405b-9c85-947c4ee3c1f4,2.585371915,Heteronympha merope,075183d6-d1af-405b-9c85-947c4ee3c1f4,149.379983,-33.434577,20/01/2023
0764a7f2-982f-4a2f-814e-a374d21c5297,5.739771422,Heteronympha merope,0764a7f2-982f-4a2f-814e-a374d21c5297,145.643535,-37.987228,18/01/2022
07ab9d4e-118d-4c93-b0e8-98b08d82eaec,2.676110276,Pieris rapae,07ab9d4e-118d-4c93-b0e8-98b08d82eaec,146.288737,-37.829861,06/01/2018
07c88105-3387-4986-a273-0d430d09aef5,2.870257648,Heteronympha merope,07c88105-3387-4986-a273-0d430d09aef5,145.222376,-37.844112,08/12/2022
07da2bb4-f425-4fb6-9fe7-85f4b069fa71,3.083790662,Heteronympha merope,07da2bb4-f425-4fb6-9fe7-85f4b069fa71,145.070919,-36.774665,12/12/2010
0814357c-003f-4126-82a1-0cff4e196366,2.65039089,Heteronympha merope,0814357c-003f-4126-82a1-0cff4e196366,151.132462,-34.083447,10/11/2011
0815fd55-473c-4187-9a22-c271d7828ad9,2.635632612,Heteronympha merope,0815fd55-473c-4187-9a22-c271d7828ad9,145.347919,-37.943871,30/12/2017
0839000d-6abf-4bdb-9758-dbd8c84d8e2a,3.237501887,Heteronympha merope,0839000d-6abf-4bdb-9758-dbd8c84d8e2a,145.163447,-37.824384,20/01/2022
085702e1-3c54-4245-9907-63150071e80f,4.759029629,Pieris rapae,085702e1-3c54-4245-9907-63150071e80f,145.411098,-37.8747,28/01/2023
0875269e-a4da-40b4-b6c4-40f65f12f841,3.422189062,Heteronympha merope,0875269e-a4da-40b4-b6c4-40f65f12f841,145.251064,-37.950836,07/01/2023
088a441c-dce8-4e1e-8816-01f7dbd20691,2.302792451,Heteronympha merope,088a441c-dce8-4e1e-8816-01f7dbd20691,145.5747,-38.6181,17/02/2020
08bc4bb9-3547-47fe-af02-98978a78b068,2.075805612,Heteronympha merope,08bc4bb9-3547-47fe-af02-98978a78b068,151.130689,-33.653225,30/10/2022
08c53df2-e3d6-412c-8e34-a71dba71f439,2.308714626,Heteronympha merope,08c53df2-e3d6-412c-8e34-a71dba71f439,149.103018,-35.326118,22/03/2019
08e97558-ace0-43b2-ad7a-6cb02869b027,3.302421629,Heteronympha merope,08e97558-ace0-43b2-ad7a-6cb02869b027,142.3392,-37.625447,25/12/2020
0920699f-c698-4673-af27-e5815f7c10eb,2.578085585,Heteronympha merope,0920699f-c698-4673-af27-e5815f7c10eb,143.783011,-37.537753,08/01/2020
094751d5-d8d4-46ef-bbf2-6e0898aedacd,3.434254251,Heteronympha merope,094751d5-d8d4-46ef-bbf2-6e0898aedacd,138.689356,-35.186805,25/04/2021
096140b8-caec-4453-ad85-9846ca56cb67,2.257646855,Pieris rapae,096140b8-caec-4453-ad85-9846ca56cb67,148.634244,-32.253583,24/07/2019
09735016-0267-4403-ad19-2b745a7db9a0,2.774154117,Pieris rapae,09735016-0267-4403-ad19-2b745a7db9a0,145.2944,-37.8489,12/03/2023
098b7882-d080-4bcd-880c-a6560a294bbd,3.356951268,Heteronympha merope,098b7882-d080-4bcd-880c-a6560a294bbd,145.167593,-38.170645,28/12/2022
099ec974-bfef-4c1a-878a-346ebbd030e3,3.363812251,Heteronympha merope,099ec974-bfef-4c1a-878a-346ebbd030e3,144.26247,-37.75508,25/04/2021
09ca7602-7312-491b-9250-4d4c779db313,2.24517416,Heteronympha merope,09ca7602-7312-491b-9250-4d4c779db313,151.344563,-33.426563,23/12/2019
09e518a3-a03b-4fb2-99d8-828de787c1a3,2.682636863,Heteronympha merope,09e518a3-a03b-4fb2-99d8-828de787c1a3,144.559855,-38.192217,27/12/2021
0a07dfd3-2ea1-4e7a-ac23-780010c3246a,2.673576719,Heteronympha merope,0a07dfd3-2ea1-4e7a-ac23-780010c3246a,151.05581,-34.083901,13/04/2021
0a0f6e4a-bd42-434d-84cb-c7e4538e9ba3,3.262497148,Heteronympha merope,0a0f6e4a-bd42-434d-84cb-c7e4538e9ba3,143.897445,-37.519342,06/01/2022
0a1b4dc7-68fd-402b-b4ae-ff8cab92e3a3,3.61003666,Pieris rapae,0a1b4dc7-68fd-402b-b4ae-ff8cab92e3a3,153.094595,-27.566861,07/12/2021
0a20843d-c77b-4af3-861d-feaeac456d00,3.578352569,Heteronympha merope,0a20843d-c77b-4af3-861d-feaeac456d00,145.571297,-38.654787,08/01/2020
0a5c2553-c76a-4c4c-b93f-c393c0360446,2.326933616,Heteronympha merope,0a5c2553-c76a-4c4c-b93f-c393c0360446,144.5944,-37.398025,19/02/2023
